,status_group
4649,functional
4650,functional
4655,functional
4656,functional
4659,functional
4660,non functional
4662,functional
4663,functional
4664,functional
4666,non functional
4667,functional
4671,functional
4674,functional
4677,functional
4680,functional
4682,non functional
4683,functional
4684,functional needs repair
4685,non functional
4686,non functional
4687,non functional
4689,non functional
4692,functional
4695,functional
4696,functional needs repair
4700,functional
4702,non functional
4703,non functional
4705,functional
4708,functional
4709,functional
4710,non functional
4717,functional
4719,functional
4722,non functional
4724,functional
4725,non functional
4726,non functional
4727,functional
4729,functional
4730,functional
4733,functional needs repair
4738,functional
4742,functional
4749,functional
4750,non functional
4752,functional
4753,non functional
4756,non functional
4759,functional
4761,functional
4762,functional
4764,functional
4765,non functional
4767,functional
4769,functional
4776,functional
4778,functional
4780,functional
4783,non functional
4784,non functional
4786,non functional
4787,functional needs repair
4791,functional
4792,functional
4797,functional
4799,non functional
4805,functional
4806,non functional
4807,functional
4809,functional
4811,functional
4817,functional
4820,non functional
4822,functional
4824,functional
4825,functional
4830,functional
4831,functional
4832,functional needs repair
4833,non functional
4836,functional
4840,functional
4841,functional needs repair
4842,functional
4844,functional
4845,non functional
4848,functional needs repair
4852,functional
4853,functional
4854,functional
4856,non functional
4857,functional
4859,non functional
4860,functional
4861,functional needs repair
4862,functional
4871,non functional
4875,functional
4876,non functional
4880,functional
4882,functional
4883,non functional
4884,functional
4885,non functional
4886,functional
4887,functional
4890,functional needs repair
4892,non functional
4893,non functional
4894,functional
4899,non functional
4900,non functional
4901,functional
4902,non functional
4903,functional
4905,functional
4907,functional needs repair
4909,functional
4910,functional
4916,non functional
4917,functional
4918,functional
4920,non functional
4922,non functional
4925,functional
4929,functional
4931,functional
4932,functional
4933,functional
4934,functional needs repair
4935,non functional
4936,functional
4943,functional
4944,non functional
4946,functional
4949,functional
4951,functional
4956,functional
4957,functional
4958,non functional
4959,functional
4964,functional needs repair
4967,functional
4968,functional
4970,functional
4974,functional
4975,functional
4976,functional needs repair
4978,functional
4980,non functional
4982,functional needs repair
4983,functional needs repair
4986,functional
4987,functional
4989,non functional
4990,functional
4997,functional
5004,functional
5006,functional
5007,functional
5008,functional
5009,functional
5011,functional
5015,functional
5016,functional
5019,functional
5021,non functional
5023,functional
5024,non functional
5027,functional
5028,non functional
5030,functional
5032,functional
5033,functional
5034,functional
5036,functional
5037,functional
5042,non functional
5043,non functional
5044,functional
5045,functional needs repair
5047,functional
5049,non functional
5050,functional
5051,functional
5052,functional
5055,functional
5058,functional needs repair
5059,non functional
5064,functional
5065,functional
5068,non functional
5069,functional
5071,functional
5074,functional
5077,functional
5081,non functional
5083,functional
5085,non functional
5086,functional
5089,functional
5090,functional
5092,functional
5093,functional
5095,functional
5096,non functional
5097,functional
5098,functional
5100,functional
5102,functional
5103,functional
5105,functional
5109,non functional
5110,functional
5111,functional
5113,functional
5116,functional needs repair
5117,functional
5119,functional
5124,functional
5125,functional
5126,non functional
5131,functional
5133,functional needs repair
5135,non functional
5138,non functional
5142,functional
5143,functional
5146,non functional
5148,functional
5149,functional
5150,functional
5154,functional
5155,functional
5157,functional
5158,non functional
5159,functional
5161,functional
5162,functional
5163,functional
5164,non functional
5167,functional
5168,functional needs repair
5170,non functional
5173,functional
5174,functional
5177,functional
5182,functional needs repair
5184,functional
5185,functional
5189,functional needs repair
5191,functional
5192,functional
5195,functional
5202,functional needs repair
5205,functional
5208,functional
5216,functional
5217,non functional
5219,functional
5221,functional
5224,functional needs repair
5225,functional
5227,functional needs repair
5230,functional
5231,functional
5232,functional
5233,functional
5234,functional
5236,functional
5241,functional
5245,functional
5248,functional needs repair
5250,functional
5252,functional
5253,non functional
5255,functional
5256,functional
5260,functional
5273,functional
5274,non functional
5276,functional
5283,functional
5284,functional
5288,functional
5289,non functional
5299,functional
5300,non functional
5302,functional needs repair
5305,non functional
5306,functional
5308,non functional
5309,functional
5310,non functional
5311,functional needs repair
5312,functional
5313,functional
5315,functional
5318,functional
5319,non functional
5321,functional
5322,functional
5326,functional
5330,functional needs repair
5331,functional
5338,non functional
5339,functional
5341,functional
5342,functional
5345,functional
5349,functional
5350,functional
5351,functional
5353,functional needs repair
